ftp_data, 0
other, 1
private, 2
http, 3
remote_job, 4
name, 5
netbios_ns, 6
mtp, 7
telnet, 8
finger, 9
domain_u, 10
supdup, 11
uucp_path, 12
Z39_50, 13
smtp, 14
csnet_ns, 15
uucp, 16
netbios_dgm, 17
urp_i, 18
auth, 19
domain, 20
ftp, 21
bgp, 22
ldap, 23
ecr_i, 24
vmnet, 25
systat, 26
http_443, 27
efs, 28
whois, 29
gopher, 30
imap4, 31
iso_tsap, 32
echo, 33
klogin, 34
link, 35
sunrpc, 36
login, 37
kshell, 38
time, 39
sql_net, 40
hostnames, 41
exec, 42
ntp_u, 43
discard, 44
nntp, 45
courier, 46
eco_i, 47
ctf, 48
ssh, 49
daytime, 50
shell, 51
netstat, 52
pop_3, 53
nnsp, 54
IRC, 55
pop_2, 56
printer, 57
tim_i, 58
red_i, 59
netbios_ssn, 60
rje, 61
X11, 62
urh_i, 63
tftp_u, 64
